system,basis,label,N,variant,raw_dim,eff_dim,gs_total,E_exact,E_mono_sum_qkd,delta_vs_mono,delta_vs_dimer1000,abs_vs_mono,abs_vs_dimer1000
H2+H2,sto-3g,STO-3G,1,cross_product,1,1,-2.233368774170681,-2.2745403493218053,-2.233368774170681,0.0,0.04117157515112435,0.0,0.04117157515112435
H2+H2,sto-3g,STO-3G,1,joint,1,1,-2.233368774170681,-2.2745403493218053,-2.233368774170681,0.0,0.04117157515112435,0.0,0.04117157515112435
H2+H2,sto-3g,STO-3G,2,cross_product,4,4,-2.274540349321806,-2.2745403493218053,-2.2745403493218053,-8.881784197001252e-16,-8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16
H2+H2,sto-3g,STO-3G,2,joint,2,2,-2.2740080022264526,-2.2745403493218053,-2.2745403493218053,0.0005323470953526588,0.0005323470953526588,0.0005323470953526588,0.0005323470953526588
H2+H2,sto-3g,STO-3G,3,cross_product,9,4,-2.2745403493218044,-2.2745403493218053,-2.2745403493218044,0.0,8.881784197001252e-16,0.0,8.881784197001252e-16
H2+H2,sto-3g,STO-3G,3,joint,3,3,-2.274540349321805,-2.2745403493218053,-2.2745403493218044,-4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16
H2+H2,sto-3g,STO-3G,4,cross_product,16,4,-2.2745403493218044,-2.2745403493218053,-2.2745403493218035,-8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16
H2+H2,sto-3g,STO-3G,4,joint,4,3,-2.2745403493218053,-2.2745403493218053,-2.2745403493218035,-1.7763568394002505e-15,0.0,1.7763568394002505e-15,0.0
H2+H2,sto-3g,STO-3G,5,cross_product,25,4,-2.2745403493218066,-2.2745403493218053,-2.274540349321804,-2.6645352591003757e-15,-1.3322676295501878e-15,2.6645352591003757e-15,1.3322676295501878e-15
H2+H2,sto-3g,STO-3G,5,joint,5,3,-2.274540349321805,-2.2745403493218053,-2.274540349321804,-8.881784197001252e-16,4.440892098500626e-16,8.881784197001252e-16,4.440892098500626e-16
H2+H2,sto-3g,STO-3G,6,cross_product,36,4,-2.274540349321805,-2.2745403493218053,-2.2745403493218053,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16
H2+H2,sto-3g,STO-3G,6,joint,6,3,-2.2745403493218057,-2.2745403493218053,-2.2745403493218053,-4.440892098500626e-16,-4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16
H2+H2,sto-3g,STO-3G,7,cross_product,49,4,-2.2745403493218066,-2.2745403493218053,-2.2745403493218053,-1.3322676295501878e-15,-1.3322676295501878e-15,1.3322676295501878e-15,1.3322676295501878e-15
H2+H2,sto-3g,STO-3G,7,joint,7,3,-2.2745403493218053,-2.2745403493218053,-2.2745403493218053,0.0,0.0,0.0,0.0
H2+H2,sto-3g,STO-3G,8,cross_product,64,4,-2.2745403493218026,-2.2745403493218053,-2.2745403493218044,1.7763568394002505e-15,2.6645352591003757e-15,1.7763568394002505e-15,2.6645352591003757e-15
H2+H2,sto-3g,STO-3G,8,joint,8,3,-2.274540349321805,-2.2745403493218053,-2.2745403493218044,-4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16
H2+H4,sto-3g,STO-3G,1,cross_product,1,1,-3.2153783881844933,-3.2770698193835193,-3.2153783881844933,0.0,0.06169143119902598,0.0,0.06169143119902598
H2+H4,sto-3g,STO-3G,1,joint,1,1,-3.2153783881844933,-3.2770698193835193,-3.2153783881844933,0.0,0.06169143119902598,0.0,0.06169143119902598
H2+H4,sto-3g,STO-3G,2,cross_product,4,4,-3.2685668960130663,-3.2770698193835193,-3.2685668960130667,4.440892098500626e-16,0.008502923370452997,4.440892098500626e-16,0.008502923370452997
