system,basis,label,N,variant,raw_dim,eff_dim,gs_total,gs_err,delta,delta_exact,err_int
H2+H2,sto-3g,STO-3G,1,novel,1,1,-1.5809248012803607,0.04659107367465776,0.6936872702264374,0.6470961965517796,0.04659107367465776
H2+H2,sto-3g,STO-3G,1,both_order,2,1,-1.5809248012803598,0.046591073674658645,0.6936872702264383,0.6470961965517796,0.046591073674658645
H2+H2,sto-3g,STO-3G,1,hybrid,2,1,-1.5809248012803598,0.046591073674658645,0.6936872702264383,0.6470961965517796,0.046591073674658645
H2+H2,sto-3g,STO-3G,1,joint,1,1,-1.5809248012803607,0.04659107367465776,0.6936872702264374,0.6470961965517796,0.04659107367465776
H2+H2,sto-3g,STO-3G,2,novel,4,4,-1.6214497471299323,0.006066127825086198,0.6531623243768658,0.6470961965517796,0.006066127825086198
H2+H2,sto-3g,STO-3G,2,both_order,8,5,-1.6224030737590232,0.005112801195995331,0.652208997747775,0.6470961965517796,0.005112801195995331
H2+H2,sto-3g,STO-3G,2,hybrid,6,5,-1.6224224058056684,0.0050934691493500495,0.6521896657011297,0.6470961965517796,0.0050934691493500495
H2+H2,sto-3g,STO-3G,2,joint,2,2,-1.6086978069129811,0.01881806804203734,0.665914264593817,0.6470961965517796,0.01881806804203734
H2+H2,sto-3g,STO-3G,3,novel,9,9,-1.6266421788576446,0.0008736960973738661,0.6479698926491535,0.6470961965517796,0.0008736960973738661
H2+H2,sto-3g,STO-3G,3,both_order,18,13,-1.6273674145812862,0.00014846037373228427,0.6472446569255119,0.6470961965517796,0.00014846037373228427
H2+H2,sto-3g,STO-3G,3,hybrid,12,11,-1.6271453858366423,0.0003704891183762271,0.6474666856701559,0.6470961965517796,0.0003704891183762271
H2+H2,sto-3g,STO-3G,3,joint,3,3,-1.6209267251409045,0.006589149814113959,0.6536853463658936,0.6470961965517796,0.006589149814113959
H2+H2,sto-3g,STO-3G,4,novel,16,16,-1.6273292675110032,0.0001866074440153298,0.647282803995795,0.6470961965517796,0.0001866074440153298
H2+H2,sto-3g,STO-3G,4,both_order,32,24,-1.6275142760151748,1.5989398436389024e-06,0.6470977954916233,0.6470961965517796,1.5989398436389024e-06
H2+H2,sto-3g,STO-3G,4,hybrid,20,19,-1.6274809769209684,3.48980340501015e-05,0.6471310945858297,0.6470961965517796,3.48980340501015e-05
H2+H2,sto-3g,STO-3G,4,joint,4,4,-1.6260825045527776,0.0014333704022408966,0.6485295669540205,0.6470961965517796,0.0014333704022408966
H2+H2,sto-3g,STO-3G,5,novel,25,21,-1.6275066632855397,9.211669478759177e-06,0.6471054082212584,0.6470961965517796,9.211669478759177e-06
H2+H2,sto-3g,STO-3G,5,both_order,50,27,-1.6275158525191546,2.2435863833436542e-08,0.6470962189876435,0.6470961965517796,2.2435863833436542e-08
H2+H2,sto-3g,STO-3G,5,hybrid,30,25,-1.6275156524715628,2.2248345565856198e-07,0.6470964190352353,0.6470961965517796,2.2248345565856198e-07
H2+H2,sto-3g,STO-3G,5,joint,5,5,-1.62696875324046,0.0005471217145585072,0.6476433182663381,0.6470961965517796,0.0005471217145585072
H2+H2,sto-3g,STO-3G,6,novel,36,25,-1.6275149918823812,8.830726372366371e-07,0.6470970796244169,0.6470961965517796,8.830726372366371e-07
H2+H2,sto-3g,STO-3G,6,both_order,72,31,-1.6275158743629614,5.920570700368444e-10,0.6470961971438367,0.6470961965517796,5.920570700368444e-10
H2+H2,sto-3g,STO-3G,6,hybrid,42,27,-1.6275158470499909,2.7905027621955014e-08,0.6470962244568073,0.6470961965517796,2.7905027621955014e-08
H2+H2,sto-3g,STO-3G,6,joint,6,6,-1.6273766302277464,0.00013924472727211423,0.6472354412790517,0.6470961965517796,0.00013924472727211423
H2+H2,6-31g,6-31G,1,novel,1,1,-1.71855642606877,0.05992265024069443,0.584672213805737,0.5247495635650425,0.05992265024069443
H2+H2,6-31g,6-31G,1,both_order,2,1,-1.71855642606877,0.05992265024069443,0.584672213805737,0.5247495635650425,0.05992265024069443
H2+H2,6-31g,6-31G,1,hybrid,2,1,-1.71855642606877,0.05992265024069443,0.584672213805737,0.5247495635650425,0.05992265024069443
H2+H2,6-31g,6-31G,1,joint,1,1,-1.71855642606877,0.05992265024069443,0.584672213805737,0.5247495635650425,0.05992265024069443
H2+H2,6-31g,6-31G,2,novel,4,4,-1.7602554526980754,0.018223623611389073,0.5429731871764316,0.5247495635650425,0.018223623611389073
H2+H2,6-31g,6-31G,2,both_order,8,5,-1.7693314454678202,0.009147630841644272,0.5338971944066868,0.5247495635650425,0.009147630841644272
H2+H2,6-31g,6-31G,2,hybrid,6,5,-1.7693151915064727,0.009163884802991795,0.5339134483680343,0.5247495635650425,0.009163884802991795
H2+H2,6-31g,6-31G,2,joint,2,2,-1.75966544953961,0.01881362676985443,0.543563190334897,0.5247495635650425,0.01881362676985443
H2+H2,6-31g,6-31G,3,novel,9,8,-1.771289358293358,0.007189718016106461,0.531939281581149,0.5247495635650425,0.007189718016106461
H2+H2,6-31g,6-31G,3,both_order,18,11,-1.7743157030886758,0.004163373220788635,0.5289129367858312,0.5247495635650425,0.004163373220788635
H2+H2,6-31g,6-31G,3,hybrid,12,10,-1.7744662622999554,0.004012814009509036,0.5287623775745516,0.5247495635650425,0.004012814009509036
H2+H2,6-31g,6-31G,3,joint,3,3,-1.7706423061036203,0.007836770205844168,0.5325863337708867,0.5247495635650425,0.007836770205844168
H2+H2,6-31g,6-31G,4,novel,16,13,-1.7725380395539378,0.005941036755526596,0.5306906003205691,0.5247495635650425,0.005941036755526596
H2+H2,6-31g,6-31G,4,both_order,32,19,-1.776614280948749,0.0018647953607153767,0.5266143589257579,0.5247495635650425,0.0018647953607153767
H2+H2,6-31g,6-31G,4,hybrid,20,15,-1.7761601171293968,0.002318959180067637,0.5270685227451102,0.5247495635650425,0.002318959180067637
H2+H2,6-31g,6-31G,4,joint,4,4,-1.77469546365987,0.003783612649594481,0.528533176214637,0.5247495635650425,0.003783612649594481
H2+H2,6-31g,6-31G,5,novel,25,14,-1.7726464566936038,0.005832619615860679,0.5305821831809032,0.5247495635650425,0.005832619615860679
